PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37867396","Diet strategies for promoting healthy aging and longevity: An epidemiological perspective","Hu FB.","J Intern Med. 2024 Apr;295(4):508-531. doi: 10.1111/joim.13728. Epub 2023 Oct 23.","Hu FB","J Intern Med","2024","2023/10/23","PMC10939982","NIHMS1932908","10.1111/joim.13728"
"31507064","Fast-food restaurant, unhealthy eating, and childhood obesity: A systematic review and meta-analysis","Jia P, Luo M, Li Y, Zheng JS, Xiao Q, Luo J.","Obes Rev. 2021 Feb;22 Suppl 1(Suppl 1):e12944. doi: 10.1111/obr.12944. Epub 2019 Sep 10.","Jia P","Obes Rev","2021","2019/09/12","PMC7988557","","10.1111/obr.12944"
"37197878","Obesity, Chronic Stress, and Stress Reduction","Goens D, Virzi NE, Jung SE, Rutledge TR, Zarrinpar A.","Gastroenterol Clin North Am. 2023 Jun;52(2):347-362. doi: 10.1016/j.gtc.2023.03.009. Epub 2023 Apr 7.","Goens D","Gastroenterol Clin North Am","2023","2023/05/17","PMC10746495","NIHMS1949976","10.1016/j.gtc.2023.03.009"
"37424220","Neurobiology of eating behavior, nutrition, and health","Stover PJ, Field MS, Andermann ML, Bailey RL, Batterham RL, Cauffman E, Frühbeck G, Iversen PO, Starke-Reed P, Sternson SM, Vinoy S, Witte AV, Zuker CS, Angelin B.","J Intern Med. 2023 Nov;294(5):582-604. doi: 10.1111/joim.13699. Epub 2023 Aug 3.","Stover PJ","J Intern Med","2023","2023/07/10","","","10.1111/joim.13699"
"34792619","Environmental risk factors of type 2 diabetes-an exposome approach","Beulens JWJ, Pinho MGM, Abreu TC, den Braver NR, Lam TM, Huss A, Vlaanderen J, Sonnenschein T, Siddiqui NZ, Yuan Z, Kerckhoffs J, Zhernakova A, Brandao Gois MF, Vermeulen RCH.","Diabetologia. 2022 Feb;65(2):263-274. doi: 10.1007/s00125-021-05618-w. Epub 2021 Nov 18.","Beulens JWJ","Diabetologia","2022","2021/11/18","","","10.1007/s00125-021-05618-w"
"35684077","Increasing Access to Healthy Foods through Improving Food Environment: A Review of Mixed Methods Intervention Studies with Residents of Low-Income Communities","Ziso D, Chun OK, Puglisi MJ.","Nutrients. 2022 May 29;14(11):2278. doi: 10.3390/nu14112278.","Ziso D","Nutrients","2022","2022/06/10","PMC9182982","","10.3390/nu14112278"
"37140933","Association of Food Deserts and Food Swamps With Obesity-Related Cancer Mortality in the US","Bevel MS, Tsai MH, Parham A, Andrzejak SE, Jones S, Moore JX.","JAMA Oncol. 2023 Jul 1;9(7):909-916. doi: 10.1001/jamaoncol.2023.0634.","Bevel MS","JAMA Oncol","2023","2023/05/04","PMC10160992","","10.1001/jamaoncol.2023.0634"
"38972826","Diet quality, community food access, and glycemic control among nulliparous individuals with diabetes","Venkatesh KK, Yee LM, Wu J, Joseph JJ, Garner J, McNeil R, Scifres C, Mercer B, Reddy UM, Silver RM, Saade G, Parry S, Simhan H, Post RJ, Walker DM, Grobman WA.","Prim Care Diabetes. 2024 Oct;18(5):506-510. doi: 10.1016/j.pcd.2024.06.011. Epub 2024 Jul 6.","Venkatesh KK","Prim Care Diabetes","2024","2024/07/07","","","10.1016/j.pcd.2024.06.011"
"38770659","Fruit for thought","Hussain S.","Australas Psychiatry. 2024 Aug;32(4):383-386. doi: 10.1177/10398562241253171. Epub 2024 May 21.","Hussain S","Australas Psychiatry","2024","2024/05/21","","","10.1177/10398562241253171"
"34047267","Food environment research is needed to improve nutrition and well-being in Asia and the Pacific","Farrell P, Rachmi CN, Mulcahy G, Helble M, Thow AM.","Public Health Nutr. 2021 Oct;24(14):4706-4710. doi: 10.1017/S136898002100241X. Epub 2021 May 28.","Farrell P","Public Health Nutr","2021","2021/05/28","PMC10195240","","10.1017/S136898002100241X"
